topic,subtopic,name,equation_latex,description_from_image,formula_in_plain_english,description_from_gemini,sympy_formula
Optics,Thermal Radiation. Quantum Nature of Light,Planck's Formula (Spectral Energy Density),u_{\omega}=\frac{\hbar \omega^{3}}{\pi^{2} c^{3}} \frac{1}{e^{\hbar \omega / k T}-1},,"The spectral energy density of radiation at angular frequency omega is given by a constant factor times omega cubed, divided by the exponential of (reduced Planck's constant times omega over Boltzmann constant times temperature) minus one.","This is Planck's law for the spectral energy density of black-body radiation as a function of angular frequency $\omega$ and temperature $T$. It successfully describes the entire black-body spectrum, resolving the 'ultraviolet catastrophe' of classical physics by introducing the concept of quantized energy.","Eq(Symbol('u_omega'), (Symbol('hbar') * Symbol('omega')**3) / (pi**2 * Symbol('c')**3) * (1 / (exp(Symbol('hbar') * Symbol('omega') / (Symbol('k') * Symbol('T'))) - 1)))"
Optics,Thermal Radiation. Quantum Nature of Light,Einstein's Photoelectric Equation,\hbar \omega=A+\frac{m v_{max}^{2}}{2},,The energy of an incident photon equals the work function of the material plus the maximum kinetic energy of the emitted electron.,"This equation describes the photoelectric effect, where light incident on a material causes electrons to be ejected. It states that the energy of a photon ($\hbar \omega$) is used to overcome the work function ($A$) of the material and provide the remaining energy as kinetic energy to the emitted electron ($\frac{1}{2} m v_{max}^2$). It provided crucial evidence for the particle nature of light (photons).","Eq(Symbol('hbar') * Symbol('omega'), Symbol('A') + (Symbol('m') * Symbol('v_max')**2) / 2)"
Atomic and Nuclear Physics,Elementary Particles,Total Energy of Relativistic Particle,E = m_0 c^2 + T,Total energy and momentum of a relativistic particle.,Total energy equals rest mass energy plus kinetic energy.,This formula defines the total energy (E) of a relativistic particle as the sum of its rest mass energy ($m_0 c^2$) and its kinetic energy (T). It is a fundamental relation in relativistic mechanics.,"Eq(E, m0 * c**2 + T)"
Atomic and Nuclear Physics,Elementary Particles,Relativistic Momentum,pc = \sqrt{T(T + 2m_0 c^2)},Total energy and momentum of a relativistic particle.,Momentum times the speed of light equals the square root of kinetic energy times the sum of kinetic energy and twice the rest mass energy.,This formula relates the momentum (p) of a relativistic particle to its kinetic energy (T) and rest mass ($m_0$). It is derived from the relativistic energy-momentum relation and is useful when kinetic energy is the known variable.,"Eq(p * c, sqrt(T * (T + 2 * m0 * c**2)))"
Atomic and Nuclear Physics,Elementary Particles,Relativistic Energy-Momentum Invariant,E^2 - p^2 c^2 = m_0^2 c^4,When examining collisions of particles it pays to use the invariant.,The square of total energy minus the square of momentum times the speed of light squared equals the square of rest mass times the speed of light to the fourth power.,"This is the fundamental relativistic energy-momentum relation, an invariant quantity that holds true for any particle or system of particles, regardless of its reference frame. It is crucial for analyzing particle collisions and decays.","Eq(E**2 - p**2 * c**2, m0**2 * c**4)"
Atomic and Nuclear Physics,Elementary Particles,Threshold Kinetic Energy for Endoergic Reaction,T_{th} = \frac{(m_1 + m_2 + \ldots)^2 - (m + M)^2}{2M} c^2,Threshold (minimal) kinetic energy of a particle $m$ striking a stationary particle $M$ and activating the endoergic reaction $m + M \rightarrow m_1 + m_2 + \ldots$.,"Threshold kinetic energy equals the difference between the square of the sum of product rest masses and the square of the sum of reactant rest masses, all divided by twice the target particle's rest mass, times the speed of light squared.","This formula calculates the minimum kinetic energy ($T_{th}$) required for an incident particle (m) to initiate an endoergic (energy-absorbing) nuclear or particle reaction with a stationary target particle (M), producing new particles ($m_1, m_2, \ldots$).","Eq(T_th, (Symbol('sum_of_product_masses')**2 - (m + M)**2) / (2 * M) * c**2)"
Atomic and Nuclear Physics,Elementary Particles,Strangeness Quantum Number,S = 2(Q) - B,"Quantum numbers classifying elementary particles: S, strangeness.",Strangeness equals twice the electric charge minus the baryon charge.,This formula defines the strangeness quantum number (S) in terms of electric charge (Q) and baryon charge (B). Strangeness is conserved in strong and electromagnetic interactions but violated in weak interactions.,"Eq(S, 2 * Q - B)"
Atomic and Nuclear Physics,Elementary Particles,Hypercharge Quantum Number,Y = B + S,"Quantum numbers classifying elementary particles: Y, hypercharge.",Hypercharge equals baryon charge plus strangeness.,This formula defines the hypercharge quantum number (Y) as the sum of the baryon charge (B) and strangeness (S). Hypercharge is conserved in strong and electromagnetic interactions.,"Eq(Y, B + S)"
Atomic and Nuclear Physics,Elementary Particles,Gell-Mann–Nishijima Formula (Hypercharge form),Q = T_z + \frac{Y}{2},Relation between quantum numbers of strongly interacting particles:,Electric charge equals the isospin projection plus half the hypercharge.,This formula relates the electric charge (Q) of a hadron to its isospin projection (Tz) and hypercharge (Y). It is a fundamental relation in particle physics for classifying hadrons and understanding their quantum numbers in strong interactions.,"Eq(Q, T_z + Y/2)"
Atomic and Nuclear Physics,Elementary Particles,Hypercharge Definition,Y = B+S,Relation between quantum numbers of strongly interacting particles:,Hypercharge equals baryon number plus strangeness.,This equation defines hypercharge (Y) as the sum of the baryon number (B) and strangeness (S). Hypercharge is a conserved quantum number in strong interactions and is used in the Gell-Mann–Nishijima formula.,"Eq(Y, B + S)"
Atomic and Nuclear Physics,Elementary Particles,Gell-Mann–Nishijima Formula (Baryon and Strangeness form),Q = T_z + \frac{B+S}{2},Relation between quantum numbers of strongly interacting particles:,Electric charge equals the isospin projection plus half the sum of baryon number and strangeness.,"This is an alternative form of the Gell-Mann–Nishijima formula, where hypercharge (Y) is explicitly replaced by its definition (B+S). It directly relates the electric charge (Q) to isospin projection (Tz), baryon number (B), and strangeness (S), all of which are conserved in strong interactions.","Eq(Q, T_z + (B + S)/2)"
Optics,Polarization of Light,Degree of Polarization,P = \frac{I_{max} - I_{min}}{I_{max} + I_{min}},Degree of polarization of light:,Polarization equals the difference between maximum and minimum intensities divided by the sum of maximum and minimum intensities.,"This formula quantifies the degree of polarization of light, indicating how much of the light is polarized. It's used to describe the extent to which the electric field oscillations of light are confined to a particular plane or direction. A value of 1 means fully polarized, 0 means unpolarized.","Eq(P, (I_max - I_min) / (I_max + I_min))"
Optics,Polarization of Light,Malus's Law,I = I_0 \cos^2 \varphi,Malus's law:,Intensity equals initial intensity times the square of the cosine of the angle between the polarizer's transmission axis and the incident light's polarization direction.,Malus's law describes the intensity of plane-polarized light transmitted through an analyzer. It's used to calculate the intensity of light after passing through a polarizer when the incident light is already polarized.,"Eq(I, I_0 * cos(phi)**2)"
Optics,Polarization of Light,Brewster's Law,\tan \theta_B = n_2/n_1,Brewster's law:,The tangent of Brewster's angle equals the ratio of the refractive index of the second medium to the refractive index of the first medium.,"Brewster's law defines Brewster's angle (or the polarization angle), at which light with a particular polarization is perfectly transmitted through a transparent dielectric surface, with no reflection. It's used to find the angle at which reflected light is completely polarized parallel to the surface.","Eq(tan(theta_B), n_2 / n_1)"
Optics,Polarization of Light,Fresnel Equation for Perpendicular Polarization (Reflected Intensity),I'_\perp = I_\perp \frac{\sin^2 (\theta_1 - \theta_2)}{\sin^2 (\theta_1 + \theta_2)},Fresnel equations for intensity of light reflected at the boundary between two dielectrics: where $I_\perp$ and $I_\parallel$ are the intensities of incident light whose electric vector oscillations are respectively perpendicular and parallel to the plane of incidence.,"The reflected intensity for perpendicular polarization equals the incident intensity for perpendicular polarization times the square of the sine of the difference between the angles of incidence and refraction, divided by the square of the sine of their sum.","This is one of the Fresnel equations, specifically for the intensity of reflected light when the electric field is perpendicular to the plane of incidence (s-polarization). It's used to calculate the reflected intensity at an interface between two dielectric media, given the incident intensity and angles.","Eq(I_prime_perp, I_perp * sin(theta_1 - theta_2)**2 / sin(theta_1 + theta_2)**2)"
